bayesian	('bayesian',)
been~neither~verified	('been~neither~verified',)
been~data~neither~verified	('data~been~neither~verified',)
shown~verified	('verified~shown',)
neither~shown~verified	('neither~verified~shown',)
been~neither~shown~verified	('been~neither~verified~shown',)
hypothesis~statistic	('statistic~hypothesis',)
false~hypothesis~statistic	('false~statistic~hypothesis',)
false~hypothesis~shown~statistic	('shown~false~statistic~hypothesis',)
false~hypothesis~statistical	('false~hypothesis~statistical',)
hypothesis~refers	('hypothesis~refers',)
hypothesis~refers~statistical	('statistical~hypothesis~refers',)
refers~statement	('refers~statement',)
hypothesis~refers~statement	('hypothesis~refers~statement',)
hypothesis~refers~statement~statistical	('statistical~hypothesis~refers~statement',)
hypothesis~statement	('statement~hypothesis',)
based~particularly	('based~particularly',)
based~particularly~testing	('testing~based~particularly',)
based~hypothesis~particularly~testing	('hypothesis~testing~based~particularly',)
important~particularly	('particularly~important',)
based~important~particularly	('based~particularly~important',)
based~important~particularly~testing	('testing~based~particularly~important',)
important~statistical	('important~statistical',)
important~particularly~statistical	('particularly~important~statistical',)
based~important~particularly~statistical	('based~particularly~important~statistical',)
hypotheses~statistical	('statistical~hypotheses',)
hypotheses~important~statistical	('important~statistical~hypotheses',)
hypotheses~important~particularly~statistical	('particularly~important~statistical~hypotheses',)
hypotheses~null	('hypotheses~null',)
hypotheses~null~statistical	('statistical~hypotheses~null',)
hypotheses~important~null~statistical	('important~statistical~hypotheses~null',)
alternative~hypothesis~null	('null~hypothesis~alternative',)
alternative~hypotheses~hypothesis~null	('hypotheses~null~hypothesis~alternative',)
hypothesis~symbolic	('hypothesis~symbolic',)
alternative~hypothesis~symbolic	('alternative~hypothesis~symbolic',)
hypothesis~logic	('logic~hypothesis',)
hypothesis~logic~symbolic	('symbolic~logic~hypothesis',)
first~hypothesis	('hypothesis~first',)
first~hypothesis~logic	('logic~hypothesis~first',)
first~hypothesis~logic~symbolic	('symbolic~logic~hypothesis~first',)
first~part	('first~part',)
first~hypothesis~part	('hypothesis~first~part',)
first~hypothesis~logic~part	('logic~hypothesis~first~part',)
implication	('implication',)
implication~second	('implication~second',)
implication~part~second	('part~implication~second',)
first~implication~part~second	('first~part~implication~second',)
part~second	('second~part',)
predicate	('predicate',)
general~predicate	('predicate~general',)
general~part~predicate	('part~predicate~general',)
general~part~predicate~second	('second~part~predicate~general',)
general~mathematical	('general~mathematical',)
general~mathematical~predicate	('predicate~general~mathematical',)
general~mathematical~part~predicate	('part~predicate~general~mathematical',)
roughly~usage	('usage~roughly',)
mathematical~roughly~usage	('mathematical~usage~roughly',)
general~mathematical~roughly~usage	('general~mathematical~usage~roughly',)
roughly~synonymous	('roughly~synonymous',)
roughly~synonymous~usage	('usage~roughly~synonymous',)
mathematical~roughly~synonymous~usage	('mathematical~usage~roughly~synonymous',)
conjecture~hypothesis	('conjecture~hypothesis',)
conjecture~hypothesis~synonymous	('synonymous~conjecture~hypothesis',)
conjecture~hypothesis~roughly~synonymous	('roughly~synonymous~conjecture~hypothesis',)
conjecture~hypothesis~statistical	('conjecture~hypothesis~statistical',)
conjecture~hypothesis~statistical~synonymous	('synonymous~conjecture~hypothesis~statistical',)
alternative~statistical~test	('statistical~test~alternative',)
alternative~hypothesis~statistical~test	('hypothesis~statistical~test~alternative',)
alternative~hypothesis~test	('test~alternative~hypothesis',)
bourget	('bourget',)
bourget~hypothesis	('hypothesis~bourget',)
alternative~bourget~hypothesis	('alternative~hypothesis~bourget',)
alternative~bourget~hypothesis~test	('test~alternative~hypothesis~bourget',)
chinese	('chinese',)
chinese~hypothesis	('hypothesis~chinese',)
bourget~chinese~hypothesis	('bourget~hypothesis~chinese',)
chinese~conjecture~hypothesis	('chinese~hypothesis~conjecture',)
continuum	('continuum',)
conjecture~continuum	('conjecture~continuum',)
conjecture~continuum~hypothesis	('conjecture~continuum~hypothesis',)
chinese~conjecture~continuum~hypothesis	('chinese~hypothesis~conjecture~continuum',)
continuum~hypothesis	('continuum~hypothesis',)
continuum~hypothesis~testing	('continuum~hypothesis~testing',)
monster	('monster',)
monster~testing	('testing~monster',)
hypothesis~monster~testing	('hypothesis~testing~monster',)
barring	('barring',)
barring~monster	('monster~barring',)
barring~monster~testing	('testing~monster~barring',)
barring~hypothesis~monster~testing	('hypothesis~testing~monster~barring',)
nested	('nested',)
barring~nested	('barring~nested',)
barring~monster~nested	('monster~barring~nested',)
barring~monster~nested~testing	('testing~monster~barring~nested',)
hypothesis~nested	('nested~hypothesis',)
barring~hypothesis~nested	('barring~nested~hypothesis',)
barring~hypothesis~monster~nested	('monster~barring~nested~hypothesis',)
hypothesis~nested~null	('nested~hypothesis~null',)
barring~hypothesis~nested~null	('barring~nested~hypothesis~null',)
postulate	('postulate',)
hypothesis~postulate	('hypothesis~postulate',)
hypothesis~null~postulate	('null~hypothesis~postulate',)
postulate~proposition	('postulate~proposition',)
hypothesis~postulate~proposition	('hypothesis~postulate~proposition',)
hypothesis~null~postulate~proposition	('null~hypothesis~postulate~proposition',)
proposition~riemann	('proposition~riemann',)
postulate~proposition~riemann	('postulate~proposition~riemann',)
hypothesis~postulate~proposition~riemann	('hypothesis~postulate~proposition~riemann',)
hypothesis~riemann	('riemann~hypothesis',)
hypothesis~proposition~riemann	('proposition~riemann~hypothesis',)
schinzel	('schinzel',)
hypothesis~schinzel	('hypothesis~schinzel',)
hypothesis~riemann~schinzel	('riemann~hypothesis~schinzel',)
hypothesis~proposition~riemann~schinzel	('proposition~riemann~hypothesis~schinzel',)
souslin	('souslin',)
hypothesis~souslin	('hypothesis~souslin',)
hypothesis~schinzel~souslin	('schinzel~hypothesis~souslin',)
testing~use	('testing~use',)
hypothesis~testing~use	('hypothesis~testing~use',)
probability~statistic~use	('use~statistic~probability',)
probability~statistic~testing~use	('testing~use~statistic~probability',)
hypothesis~probability	('probability~hypothesis',)
hypothesis~probability~statistic	('statistic~probability~hypothesis',)
hypothesis~probability~statistic~use	('use~statistic~probability~hypothesis',)
true~usual	('true~usual',)
hypothesis~true~usual	('hypothesis~true~usual',)
hypothesis~probability~true~usual	('probability~hypothesis~true~usual',)
process~usual	('usual~process',)
process~true~usual	('true~usual~process',)
hypothesis~process~true~usual	('hypothesis~true~usual~process',)
hypothesis~process	('process~hypothesis',)
hypothesis~process~usual	('usual~process~hypothesis',)
hypothesis~process~testing	('process~hypothesis~testing',)
hypothesis~process~testing~usual	('usual~process~hypothesis~testing',)
four~testing	('testing~four',)
four~hypothesis~testing	('hypothesis~testing~four',)
four~hypothesis~process~testing	('process~hypothesis~testing~four',)
formulate	('formulate',)
formulate~step	('step~formulate',)
formulate~four~step	('four~step~formulate',)
formulate~four~step~testing	('testing~four~step~formulate',)
formulate~null	('formulate~null',)
formulate~null~step	('step~formulate~null',)
formulate~four~null~step	('four~step~formulate~null',)
observation~pure	('observation~pure',)
hypothesis~observation~pure	('hypothesis~observation~pure',)
hypothesis~null~observation~pure	('null~hypothesis~observation~pure',)
alternative~chance	('chance~alternative',)
alternative~chance~pure	('pure~chance~alternative',)
alternative~chance~observation~pure	('observation~pure~chance~alternative',)
hypothesis~observation~real	('hypothesis~observation~real',)
alternative~hypothesis~observation~real	('alternative~hypothesis~observation~real',)
effect~hypothesis~observation~real	('hypothesis~observation~real~effect',)
combined	('combined',)
combined~effect	('effect~combined',)
combined~effect~real	('real~effect~combined',)
combined~effect~observation~real	('observation~real~effect~combined',)
combined~component	('combined~component',)
combined~component~effect	('effect~combined~component',)
combined~component~effect~real	('real~effect~combined~component',)
chance~component	('component~chance',)
chance~combined~component	('combined~component~chance',)
chance~combined~component~effect	('effect~combined~component~chance',)
identify~variation	('variation~identify',)
chance~identify~variation	('chance~variation~identify',)
chance~component~identify~variation	('component~chance~variation~identify',)
identify~test	('identify~test',)
identify~test~variation	('variation~identify~test',)
chance~identify~test~variation	('chance~variation~identify~test',)
assess	('assess',)
assess~statistic	('statistic~assess',)
assess~statistic~test	('test~statistic~assess',)
assess~identify~statistic~test	('identify~test~statistic~assess',)
truth	('truth',)
assess~truth	('assess~truth',)
assess~statistic~truth	('statistic~assess~truth',)
assess~statistic~test~truth	('test~statistic~assess~truth',)
null~truth	('truth~null',)
assess~null~truth	('assess~truth~null',)
assess~null~statistic~truth	('statistic~assess~truth~null',)
p-value~probability	('p-value~probability',)
hypothesis~p-value~probability	('hypothesis~p-value~probability',)
hypothesis~null~p-value~probability	('null~hypothesis~p-value~probability',)
probability~test	('probability~test',)
p-value~probability~test	('p-value~probability~test',)
hypothesis~p-value~probability~test	('hypothesis~p-value~probability~test',)
